time,open,high,low,close,volume
2018-01-15T10:00:00Z,13717,13862,13716,13767,90.4611228900001
2018-01-15T11:00:00Z,13767,13799,13580,13779,-340.3087147299976
2018-01-15T12:00:00Z,13778,14196,13656,14166,574.8106569199989
2018-01-15T13:00:00Z,14165,14250,14037,14179,246.8381385500013
2018-01-15T14:00:00Z,14185,14356,14128,14129,-18.11502204000038
2018-01-15T15:00:00Z,14129,14145,14032,14080,-257.4487810699975
2018-01-15T16:00:00Z,14080,14182,13970,14153,-0.6590912799999982
2018-01-15T17:00:00Z,14164,14183.27514082,13887,13899,40.47371854999966
2018-01-15T18:00:00Z,13896,13980,13866,13900,52.59964805999873
2018-01-15T19:00:00Z,13901,13941,13751,13861,-385.86178706999664
2018-01-15T20:00:00Z,13862,13944,13607,13700,-227.1726858399998
2018-01-15T21:00:00Z,13700.15962661,13943,13685,13889,-28.632348680000135
2018-01-15T22:00:00Z,13889,13913,13743,13777,-161.19900819
2018-01-15T23:00:00Z,13776,13810,13413,13601,-1097.3802930899958
2018-01-16T00:00:00Z,13602,13617,13112,13217,-1236.2978246899984
2018-01-16T01:00:00Z,13217,13351,12650,13061,-1250.9642600899956
2018-01-16T02:00:00Z,13060,13184,12647,13174,-318.80677985000085
2018-01-16T03:00:00Z,13174,13175,12757,12894.78556304,-285.7436119800014
2018-01-16T04:00:00Z,12894,13041,12815,12983.77855806,39.87195744999998
2018-01-16T05:00:00Z,12983,13134,12842,13114,5.916135529999672
2018-01-16T06:00:00Z,13113,13185,13000,13144,-156.26335678000098
2018-01-16T07:00:00Z,13142,13212,12353,12423.49356721,-3109.2198154299967
2018-01-16T08:00:00Z,12401,12590,11400,12049,-3303.1676006400403
2018-01-16T09:00:00Z,12049,12131,10891,11300,-2267.6949635999704
2018-01-16T10:00:00Z,11300,11949,11300,11643,686.2271654400006
2018-01-16T11:00:00Z,11642,12100,11642,12046,490.9139900299988
2018-01-16T12:00:00Z,12048,12072,11530,11779,-581.5771921299953
2018-01-16T13:00:00Z,11779,11987,11325,11472,-753.8422032599939
2018-01-16T14:00:00Z,11474,11919,11393,11670,288.82605762999964
2018-01-16T15:00:00Z,11674,12084,11550,11970,442.10883292000113
2018-01-16T16:00:00Z,11968,11999,11607,11705,-512.5673742099964
2018-01-16T17:00:00Z,11706,11787,11014,11031,-2040.816063139979
2018-01-16T18:00:00Z,11030,11373,10779,11233,-797.0021445299834
2018-01-16T19:00:00Z,11228,11657,11220,11255,-311.3170980299984
2018-01-16T20:00:00Z,11255,11460,10717,10910,-1030.3400865000035
2018-01-16T21:00:00Z,10910,11147,10260,10551,-1880.741195169997
2018-01-16T22:00:00Z,10552,11196,9940,11086,-1152.5390374899753
2018-01-16T23:00:00Z,11055,11385,10660,11065,-501.0603589699997
2018-01-17T00:00:00Z,11065,11497,10825,10889,-550.2914303599989
2018-01-17T01:00:00Z,10889,11412,10812,11028,-709.429341599995
2018-01-17T02:00:00Z,11036,11240,10600,10805,-406.13020571999976
2018-01-17T03:00:00Z,10807,10880,10200,10667,-657.155955260002
2018-01-17T04:00:00Z,10667,11183,10317,10940,457.36615109000303
2018-01-17T05:00:00Z,10939,11126,10592.98098143,10912,-83.19569395000096
2018-01-17T06:00:00Z,10912,11244,10875.28675551,10945,-9.149470420000359
2018-01-17T07:00:00Z,10945,11117,10767,10877.01340786,-45.39061131000083
2018-01-17T08:00:00Z,10877.01340786,10889,10339,10664,359.9310898000017
2018-01-17T09:00:00Z,10664,10686,10110,10287,-384.92082928000013
2018-01-17T10:00:00Z,10287,10364.07505653,9750,9769.8,-1417.7834236299923
2018-01-17T11:00:00Z,9769.8,10400,9633,9898,-1328.2891296600035
2018-01-17T12:00:00Z,9895.8,10479,9761,10139,-17.716350050000727
2018-01-17T13:00:00Z,10148,10279,9816,9843,-604.8693935699986
2018-01-17T14:00:00Z,9840,9987,9362,9377.1,-1643.660533569983
2018-01-17T15:00:00Z,9377.2,9794.9,9231.1,9511,-2380.802414600028
2018-01-17T16:00:00Z,9511,10350,9493,10323,-51.62523707999914
2018-01-17T17:00:00Z,10323,10410,9851,10048,-434.22492610999046
2018-01-17T18:00:00Z,10034,10050.18972672,9763,9790.1,-247.62472395999657
2018-01-17T19:00:00Z,9790,10643,9788,10483,822.6280301500096
2018-01-17T20:00:00Z,10480,10983,10351,10890,525.9730331900021
2018-01-17T21:00:00Z,10890,11363,10635,11340,637.1798099400033
2018-01-17T22:00:00Z,11340,11450,10800,10955,-946.8108114099877
2018-01-17T23:00:00Z,10939,11228,10680.82007263,11108,-529.4910502899963
2018-01-18T00:00:00Z,11113,11249,10775,11216.91108778,-82.9842328199975
2018-01-18T01:00:00Z,11216.91108778,11551,11085,11431,328.56795002000257
2018-01-18T02:00:00Z,11431,11669,11318.11813423,11636,-721.2760945599952
2018-01-18T03:00:00Z,11636,11670,11185,11217,-915.8825799699906
2018-01-18T04:00:00Z,11220,11456,10967,10984,-539.982243339996
2018-01-18T05:00:00Z,10982,11098,10745,10912,-379.89579379999
2018-01-18T06:00:00Z,10905,11311,10900,11090,-212.41255305999644
2018-01-18T07:00:00Z,11090.71178065,11135,10515,10540,-893.2164771400089
2018-01-18T08:00:00Z,10539,10883,10515,10778,-35.69894303000018
2018-01-18T09:00:00Z,10779,11371,10737,11191,-45.17973747999837
2018-01-18T10:00:00Z,11191,11314.82765409,11058,11251,-182.5860455199965
2018-01-18T11:00:00Z,11252,11608,11251,11462,-5.0284699499979535
2018-01-18T12:00:00Z,11463,11874,11462,11538.63587084,-57.63234710998791
2018-01-18T13:00:00Z,11538,11750,11346,11501,-269.2503035599968
2018-01-18T14:00:00Z,11506.50529982,11800,11422,11793,150.98759256000054
2018-01-18T15:00:00Z,11795,11904,11499,11766,240.4785034900015
2018-01-18T16:00:00Z,11765,11766,11312,11454,-973.5085252899952
2018-01-18T17:00:00Z,11454,11617,11132,11137,-280.54711638999873
2018-01-18T18:00:00Z,11136,11601,11111,11601,-229.82229918999525
2018-01-18T19:00:00Z,11600,11662,11336.46147708,11642,-342.93047620999994
2018-01-18T20:00:00Z,11642,11849,11538,11626,-44.47582694999823
2018-01-18T21:00:00Z,11624,11740,11256,11401,-610.2090288199937
2018-01-18T22:00:00Z,11400,11405,10878,11093,-774.0386595500011
2018-01-18T23:00:00Z,11093,11170,10805,11030,-665.32308633
2018-01-19T00:00:00Z,11031,11343,10937,11268,-102.21398819999948
2018-01-19T01:00:00Z,11267,11399,11100,11198,-294.33861060999897
2018-01-19T02:00:00Z,11199,11257,10701,10771,-1871.582613179992
2018-01-19T03:00:00Z,10767,11045,10647,10908,-556.1347245499916
2018-01-19T04:00:00Z,10907,11249,10762,11123,-6.472560040000588
2018-01-19T05:00:00Z,11122,11317,11015,11187,-92.57211303000086
2018-01-19T06:00:00Z,11188,11400,11072,11307,253.6677992600004
2018-01-19T07:00:00Z,11300,11329.59972918,10946,11052,-404.29410920000083
2018-01-19T08:00:00Z,11054,11676,10912,11528,-1014.8565056799937
2018-01-19T09:00:00Z,11532,11696,11371,11476,-181.62065827999862
2018-01-19T10:00:00Z,11478,11733,11423,11693,245.8577690199999
2018-01-19T11:00:00Z,11701,11705,11474.13410057,11569,-113.04535692000024
2018-01-19T12:00:00Z,11569,11825,11559,11700,465.8079711899982
2018-01-19T13:00:00Z,11704,11900,11610,11632,-251.1242398500004
2018-01-19T14:00:00Z,11632,11759.97981624,11348,11420,-457.5637440599996
2018-01-19T15:00:00Z,11419,11597,11363.16316758,11466,-64.16376761999985
2018-01-19T16:00:00Z,11467,11650,11455,11585,53.182648420000426
2018-01-19T17:00:00Z,11585,11600,11127,11214,-619.5635870900011
2018-01-19T18:00:00Z,11216,11286,11011.81445337,11193,-16.474063379999766
2018-01-19T19:00:00Z,11193,11291,11060,11200,-111.76451580999984
2018-01-19T20:00:00Z,11199,11434,11105,11345,70.27127054000078
